iteration,acc
0,0.23828125
224,0.4714704155921936
448,0.5078473687171936
672,0.5309012532234192
896,0.5374232530593872
1120,0.5603724718093872
1344,0.5591517686843872
1568,0.5752999186515808
1792,0.5710797905921936
2016,0.6142229437828064
2240,0.6168736219406128
2464,0.6180245280265808
2688,0.6186872124671936
2912,0.6213727593421936
3136,0.6216168999671936
3360,0.621826171875
3584,0.6230120062828064
3808,0.6256278157234192
4032,0.6279645562171936
4256,0.6277552843093872
4480,0.6312081217765808
4704,0.6297084093093872
4928,0.6340680718421936
5152,0.6339983344078064
5376,0.634033203125
5600,0.6343122124671936
5824,0.6349051594734192
6048,0.6348004937171936
6272,0.6347307562828064
6496,0.6349400281906128
6720,0.6344168782234192
6944,0.634765625
7168,0.6348004937171936
7392,0.634521484375
7616,0.6349400281906128
7840,0.6345912218093872
8064,0.6344866156578064
8288,0.6354283094406128
8512,0.6352190375328064
8736,0.6351841688156128
8960,0.634765625
9184,0.6357770562171936
9408,0.6351493000984192
9632,0.6353934407234192
9856,0.6353236436843872
10080,0.6356375813484192
10304,0.6350795030593872
