iteration,loss
50,1.7161049842834473
100,1.6875633001327515
150,1.4917091131210327
200,1.657701015472412
250,1.5522469282150269
300,1.517964482307434
350,1.4462171792984009
400,1.313981056213379
450,1.3074840307235718
500,1.3293641805648804
550,1.270738124847412
600,1.4251227378845215
650,1.2330455780029297
700,1.3071662187576294
750,1.2315075397491455
800,1.3657102584838867
850,1.2768036127090454
900,1.337843894958496
950,1.306281328201294
1000,1.1897844076156616
1050,1.2808834314346313
1100,1.1597509384155273
1150,1.345707654953003
1200,1.4085825681686401
1250,1.2693191766738892
1300,1.282557487487793
